Magnus Samuelsson           3 (1xF, 2xG)    SWE
Eddie Hall                  2 (2xG)         GBR
Hafthór Júlíus Björnsson    2 (2xG)         ISL
Žydrūnas Savickas           1 (1xF)         LTU
Oleksii Novikov             1 (1xF)         UKR
Jón Páll Sigmarsson         1 (1xF)         ISL
Gary Taylor                 1 (1xF)         GBR
Manfred Höberl              1 (1xG)         AUT
Konstantine Janashia        1 (1xG)         GEO
Laurence Shahlaei           1 (1xG)         GBR
Jouko Ahola                 1 (1xG)         FIN
Mariusz Pudzianowski        1 (1xG)         POL
Sebastian Wenta             1 (1xG)         POL
